country,code,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Afghanistan,AFG,0,0,0,0
Albania,ALB,89,132,54,4.9
Algeria,DZA,25,0,14,0.7
Andorra,AND,245,138,312,12.4
Angola,AGO,217,57,45,5.9
Antigua & Barbuda,ATG,102,128,45,4.9
Argentina,ARG,193,25,221,8.3
Armenia,ARM,21,179,11,3.8
Australia,AUS,261,72,212,10.4
Austria,AUT,279,75,191,9.7
Azerbaijan,AZE,21,46,5,1.3
Bahamas,BHS,122,176,51,6.3
Bahrain,BHR,42,63,7,2
Bangladesh,BGD,0,0,0,0
Barbados,BRB,143,173,36,6.3
Belarus,BLR,142,373,42,14.4
Belgium,BEL,295,84,212,10.5
Belize,BLZ,263,114,8,6.8
Benin,BEN,34,4,13,1.1
Bhutan,BTN,23,0,0,0.4
Bolivia,BOL,167,41,8,3.8
Bosnia-Herzegovina,BIH,76,173,8,4.6
Botswana,BWA,173,35,35,5.4
Brazil,BRA,245,145,16,7.2
Brunei,BRN,31,2,1,0.6
Bulgaria,BGR,231,252,94,10.3
Burkina Faso,BFA,25,7,7,4.3
Burundi,BDI,88,0,0,6.3
Cabo Verde,CPV,144,56,16,4
Cambodia,KHM,57,65,1,2.2
Cameroon,CMR,147,1,4,5.8
Canada,CAN,240,122,100,8.2
Central African Republic,CAF,17,2,1,1.8
Chad,TCD,15,1,1,0.4
Chile,CHL,130,124,172,7.6
China,CHN,79,192,8,5
Colombia,COL,159,76,3,4.2
Comoros,COM,1,3,1,0.1
Congo,COG,76,1,9,1.7
Cook Islands,COK,0,254,74,5.9
Costa Rica,CRI,149,87,11,4.4
Cote d'Ivoire,CIV,37,1,7,4
Croatia,HRV,230,87,254,10.2
Cuba,CUB,93,137,5,4.2
Cyprus,CYP,192,154,113,8.2
Czech Republic,CZE,361,170,134,11.8
Denmark,DNK,224,81,278,10.4
Djibouti,DJI,15,44,3,1.1
Dominica,DMA,52,286,26,6.6
Dominican Republic,DOM,193,147,9,6.2
DR Congo,COD,32,3,1,2.3
Ecuador,ECU,162,74,3,4.2
Egypt,EGY,6,4,1,0.2
El Salvador,SLV,52,69,2,2.2
Equatorial Guinea,GNQ,92,0,233,5.8
Eritrea,ERI,18,0,0,0.5
Estonia,EST,224,194,59,9.5
Ethiopia,ETH,20,3,0,0.7
Fiji,FJI,77,35,1,2
Finland,FIN,263,133,97,10
France,FRA,127,151,370,11.8
Gabon,GAB,347,98,59,8.9
Gambia,GMB,8,0,1,2.4
Georgia,GEO,52,100,149,5.4
Germany,DEU,346,117,175,11.3
Ghana,GHA,31,3,10,1.8
Greece,GRC,133,112,218,8.3
Grenada,GRD,199,438,28,11.9
Guatemala,GTM,53,69,2,2.2
